Lakehead-Lakeshore	40.901211	-122.392325	723
Lakeland Village	33.638178	-117.348719	7418
Lakeport	39.044865	-122.918383	5230
Lakeside	32.849533	-116.90542	20603
Lakeview	33.831218	-117.120153	2134
Lakewood	33.847365	-118.119889	78097
Lamont	35.261102	-118.91332	15724
Lanare	36.442367	-119.927411	599
Lancaster	34.68698	-118.154062	145776
Larkfield-Wikiup	38.50861	-122.75318	7923
Larkspur	37.941074	-122.530241	11800
Las Flores	33.586924	-117.627414	5824
Las Lomas	36.865421	-121.734016	3070
Las Posas	34.288482	-118.999735	4045
Lathrop	37.816904	-121.288633	17256
Laton	36.4349	-119.685835	1372
Lawndale	33.886764	-118.353556	31211
Laytonville-Leggett	39.763622	-123.644616	3966
Laytonville	39.674818	-123.488757	1288
Le Grand	37.229177	-120.249938	2016
Lebec	34.842248	-118.884151	1519
Lemon Cove	36.381425	-119.025917	313
Lemon Grove	32.733451	-117.033702	24597
Lemoore Station	36.260534	-119.891936	5864
Lemoore	36.303874	-119.786449	24285
Lennox	33.939813	-118.357482	23412
Lenwood	34.878243	-117.107755	3736
Lewiston	40.699213	-122.810684	1398
Lexington Hills	37.157695	-121.984013	2509
Lexington	37.155333	-121.963354	4009
Lincoln Village	38.004122	-121.334544	4938
Lincoln	38.887121	-121.295973	44402
Linda Rural	39.139672	-121.408123	9329
Linda	39.125181	-121.563006	16011
Linden	38.019989	-121.09145	1291
Lindsay	36.207172	-119.08881	10705
Littlerock	34.525056	-117.990048	1430
Live Oak	39.274518	-121.662003	8292
Livermore	37.685496	-121.764096	81084
Livingston	37.38453	-120.721582	13368
Llagas-Uvas	37.064154	-121.689328	3214
Lockeford	38.157565	-121.151455	3723
Lodi	38.128751	-121.280926	61450
Loma Linda	34.048364	-117.250648	21659
Loma Rica	39.314149	-121.402497	2465
Lomita	33.793384	-118.31611	20118
Lompoc Valley	34.634882	-120.438784	58405
Lompoc	34.646182	-120.460316	41096
London	36.475995	-119.442332	2086
Lone Pine	36.586402	-118.070668	1610
Long Beach	33.804133	-118.158028	462604
Loomis Basin-Folsom Lake	38.792253	-121.202055	89014
Loomis	38.816436	-121.192778	6874
Los Alamitos	33.802316	-118.064448	11693
Los Alamos	34.741984	-120.275397	1374
Los Altos Hills	37.37139	-122.137605	8699
Los Altos	37.36819	-122.097511	28622
Los Angeles	34.086159	-118.375984	3831868
Los Banos	37.062356	-120.844174	35120
Los Gatos	37.236044	-121.961768	29501
Los Molinos	40.024439	-122.099442	2112
Los Padres	34.598362	-119.154104	785
Lost Hills	35.614199	-119.689247	2292
Lower Lake	38.909441	-122.608618	1937
Lower Trinity	40.8188	-123.304811	2223
Loyalton	39.676558	-120.243157	753
Loyola	37.351391	-122.100526	3556
Lucas Valley-Marinwood	38.027989	-122.562783	7177
Lucerne	39.08779	-122.791108	3168
Lynwood	33.924642	-118.201862	69755
Mad River	40.266732	-123.32601	897
Madeline Plains	40.959781	-120.424778	4161
Madera Acres	37.009271	-120.079922	9097
Madera	36.963411	-120.067316	56692
Magalia	39.826009	-121.603408	11284
Malibu	34.03045	-118.778612	13042
Mammoth Lakes	37.636893	-118.978915	7392
Manhattan Beach	33.88898	-118.405357	36566
Manteca	37.802777	-121.220818	65631
Manton	40.41902	-121.863519	402
March AFB	33.898848	-117.276285	487
Maricopa	35.058276	-119.401164	1149
Marina del Rey	33.979361	-118.452912	8340
Marina	36.678155	-121.797246	25041
Mariposa	37.487379	-119.96846	1438
Martinez	38.000588	-122.120081	35425
Marysville Rural	39.264425	-121.442348	7361
Marysville	39.149343	-121.585544	11622
Mather	38.582305	-121.30481	108400
Mayflower Village	34.117837	-118.009486	5183
Maywood	33.987864	-118.186553	28137
McArthur	41.050534	-121.399816	399
McCloud-Medicine Lake	41.376667	-121.863867	1690
McCloud	41.254682	-122.136321	1342
McFarland	35.678428	-119.230236	12192
McKinleyville	40.947392	-124.102547	13831
Meadow Valley	39.936921	-121.062051	570
Meadow Vista	39.003795	-121.029242	4089
Mecca	33.573388	-116.073536	7123
Meiners Oaks	34.449684	-119.275274	3915
Mendocino	39.308179	-123.796064	816
Mendota	36.756198	-120.382118	10410
Menlo Park	37.454188	-122.178579	30276
Mentone	34.064663	-117.120242	9049
Merced	37.305977	-120.477916	76274
